nameWithOwner,classes_n,total_loc,total_comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
dyc87112/SpringBoot-Learning,264.0,2751.0,,4.443181818181818,4.0,2.9656767367230716,1.0265151515151516,1.0,0.1830704942179621,1.4659090909090908,0.0,7.250984771670982
android10/Android-CleanArchitecture,105.0,2260.0,,5.142857142857143,4.0,4.670753051268507,1.4285714285714286,1.0,0.7051615043752368,6.723809523809524,1.0,23.217821088922538
Konloch/bytecode-viewer,414.0,21768.0,,4.647342995169082,3.0,6.211859328177208,2.0434782608695654,1.0,1.8194652324163236,13.68840579710145,0.0,59.06115360580907
mockito/mockito,2128.0,53190.0,,3.2796052631578947,2.0,4.385761189067666,1.3956766917293233,1.0,1.076491590584833,19.06343984962406,0.0,278.7497798942212
apache/pulsar,7097.0,510167.0,,6.895589685782725,4.0,10.348055277249971,1.6807101592222065,1.0,3.8774288533142354,89.29054530083134,0.0,1465.1417608869351
apache/doris,9163.0,683877.0,,8.6646294881589,5.0,20.120691304146792,1.6975881261595547,1.0,1.3215349265378458,126.98079231692677,1.0,3041.1892911827385
java-decompiler/jd-gui,407.0,19309.0,,4.538083538083538,3.0,5.430519417672085,2.4176904176904177,1.0,2.3388940109725205,11.115479115479115,1.0,51.07329738346287
zhisheng17/flink-learning,661.0,15829.0,,4.35249621785174,3.0,4.3902212930420275,1.1437216338880485,1.0,0.37607712938091165,3.022692889561271,0.0,17.520060346800754
supertokens/supertokens-core,1020.0,112693.0,,10.887254901960784,10.0,11.268253507472263,1.4627450980392156,1.0,1.0245199520816737,72.98333333333333,3.0,1227.8681489011892
zaproxy/zaproxy,2385.0,171397.0,,4.667505241090147,3.0,5.82625003352049,1.9064989517819706,1.0,1.7582677738902803,70.91991614255765,1.0,358.62496868514677
cryptomator/cryptomator,473.0,19105.0,,8.329809725158562,6.0,8.010658905969382,1.4186046511627908,1.0,0.9601335966691807,19.596194503171247,1.0,69.0083186024335
elastic/logstash,932.0,43734.0,,5.368025751072961,4.0,5.660913071852437,1.6158798283261802,1.0,2.1159932595036928,21.18991416309013,1.0,103.3012102956329
theonedev/onedev,8426.0,339086.0,,5.85105625445051,4.0,8.953583408752491,1.4366247329693804,1.0,0.9282034980631642,26.84773320674104,0.0,521.8074817676429
eclipse-vertx/vert.x,2011.0,167663.0,,6.554947787170562,4.0,9.132596429659186,1.5340626553953256,1.0,1.057175601680613,157.33465937344604,1.0,1614.0767115392794
arduino/Arduino,450.0,25793.0,,4.131111111111111,2.0,6.051608861241208,1.768888888888889,1.0,1.9227650633242768,32.72222222222222,0.0,208.26102709599184
hdodenhof/CircleImageView,3.0,360.0,,11.0,5.0,13.076696830622021,2.3333333333333335,2.0,0.5773502691896258,178.66666666666666,0.0,309.45974428563943
Tencent/QMUI_Android,1066.0,58309.0,,5.290806754221388,3.0,6.456197656115214,1.5666041275797373,1.0,1.2655682562442037,35.34240150093809,0.0,197.89879811237174
alibaba/ARouter,98.0,3165.0,,3.693877551020408,2.0,4.910347087623659,1.4081632653061225,1.0,0.7843407461424728,17.448979591836736,0.0,83.3326611937267
